Distance,Gray_Value
857,726.835
858,717.611
859,654.083
860,545.473
861,467.320
862,448.924
863,450.659
864,437.655
865,450.096
866,481.715
867,530.833
868,600.224
869,667.041
870,676.396
871,679.226
872,726.221
873,707.300
874,677.367
875,669.081
876,662.397
877,680.954
878,711.827
879,734.510
880,726.359
881,728.352
882,736.177
883,729.092
884,747.730
885,748.004
886,716.443
887,704.886
888,705.552
889,702.976
890,713.719
891,726.978
892,727.957
893,730.843
894,710.403
895,700.087
896,699.835
897,712.136
898,715.466
899,708.663
900,714.578
901,721.424
902,716.339
903,676.437
904,584.558
905,522.960
906,491.998
907,472.332
908,480.196
909,502.219
910,536.969
911,569.817
912,642.207
913,692.214
914,705.670
915,715.787
916,728.338
917,714.537
918,720.651
919,721.670
920,714.513
921,716.014
922,711.031
923,740.915
924,720.928
925,717.260
926,732.787
927,709.119
928,735.074
929,741.133
930,743.299
931,763.207
932,784.816
933,713.018
934,699.888
935,703.529
936,721.345
937,709.589
938,718.428
939,758.774
940,728.664
941,724.354
942,728.474
943,707.189
944,704.858
945,710.853
946,707.027
947,670.953
948,612.601
949,554.598
950,543.083
951,539.085
952,506.918
953,501.210
954,515.700
955,522.825
956,565.652
957,679.922
958,698.600
959,696.510
960,723.356
961,753.807
962,781.232
963,763.019
964,731.421
965,710.198
966,701.927
967,710.551
968,710.271
969,736.383
970,751.740
971,735.662
972,762.440
973,757.171
974,744.330
975,730.247
976,735.755
977,742.120
978,739.765
979,737.031
980,739.646
981,736.967
982,711.956
983,714.745
984,738.264
985,768.431
986,739.600
987,706.111
988,704.777
989,715.182
990,719.834
991,719.967
992,673.579
993,581.429
994,522.588
995,495.410
996,480.753
997,482.280
998,493.740
999,515.109
1000,555.253
1001,631.956
1002,662.009
1003,691.590
1004,699.899
1005,699.914
1006,714.485
1007,713.281
1008,728.897
1009,733.045
1010,738.791
1011,748.624
1012,758.651
1013,771.068
1014,771.289
1015,771.056
1016,764.169
1017,722.256
1018,727.125
1019,747.385
1020,739.744
1021,738.477
1022,754.695
1023,732.554
1024,744.705
1025,750.977
1026,751.310
1027,743.304
1028,729.108
1029,735.084
1030,739.524
1031,744.982
1032,743.069
1033,752.303
1034,727.303
1035,710.589
1036,647.725
1037,564.433
1038,516.931
1039,491.858
1040,487.923
1041,504.591
1042,510.291
1043,534.693
1044,565.250
